ions;SNF3_untreated;car1_untreated;NPY1_untreated;MSW1_untreated;RNR4_untreated;GRX5_untreated;aah1_untreated;AMD2_untreated;MSM1_untreated;URA1_untreated;GPR1_untreated;IMD4_untreated;RNR1_untreated;LEU1_untreated;URA10_untreated;LPD1_untreated;FUM1_untreated;CHO1_untreated;FUN26_untreated;DAL7_untreated;ALD5_untreated;FCY21_untreated;NIT1_untreated;uga1_untreated;pnp1_untreated;CIT2_untreated;CRD1_untreated;FUI1_untreated;AVT3_untreated;TPN1_untreated;HOM6_untreated;PHO84_untreated;BNA4_untreated;FBP1_untreated;RGT2_untreated;LSC1_untreated;PUT1_untreated;FAA2_untreated;NIT2_untreated;GLR1_untreated;SUC2_untreated;ODC2_untreated;ADH3_untreated;FEN2_untreated;PNC1_untreated;HOM2_untreated;AVT1_untreated;SHM1_untreated;ERS1_untreated;DIC1_untreated;ALD4_untreated;BAP3_untreated;RBK1_untreated;hmg2_untreated;FUR4_untreated;BNA3_untreated;AAT2_untreated;MST1_untreated;ILV1_untreated;YCF1_untreated;ADE8_untreated;MLS1_untreated;IZH2_untreated;ARO1_untreated;MEP2_untreated;BAT1_untreated;STE2_untreated;IMD2_untreated;TAT1_untreated;GDA1_untreated;LYS12_untreated;STR3_untreated;GAP1_untreated;ALT1_untreated;VBA1_untreated;VBA2_untreated;LEU4_untreated;GCV2_untreated;FUR4_estradiol;AVT1_estradiol;ARO1_estradiol;LYS12_estradiol;VBA1_estradiol;MSW1_estradiol;uga1_estradiol;MST1_estradiol;IMD2_estradiol;GAP1_estradiol;SUC2_estradiol;BNA4_estradiol;HOM6_estradiol;GPR1_estradiol;MSM1_estradiol;WT_estradiol;CHO1_estradiol;BNA3_estradiol;SNF3_estradiol;STR3_estradiol;VBA2_estradiol;FUM1_estradiol;FCY21_estradiol;hmg2_estradiol;RNR1_estradiol;ALD5_estradiol;NIT1_estradiol;LEU1_estradiol;ADE8_estradiol;RNR4_estradiol;FEN2_estradiol;PHO84_estradiol;RGT2_estradiol;ODC2_estradiol;BAT1_estradiol;GCV2_estradiol;NPY1_estradiol;YCF1_estradiol;FUI1_estradiol;GRX5_estradiol;AAT2_estradiol;LEU4_estradiol;MLS1_estradiol;STE2_estradiol;ILV1_estradiol;DAL7_estradiol;LSC1_estradiol;MEP2_estradiol;TPN1_estradiol;AVT3_estradiol;URA10_estradiol;BAP3_estradiol;pnp1_estradiol;FBP1_estradiol;RBK1_estradiol;FUN26_estradiol;IMD4_estradiol;NIT2_estradiol;CIT2_estradiol;AMD2_estradiol;ALT1_estradiol;aah1_estradiol;SHM1_estradiol;DIC1_estradiol;TAT1_estradiol;ALD4_estradiol;URA1_estradiol;ADH3_estradiol;HOM2_estradiol;PUT1_estradiol;PNC1_estradiol;FAA2_estradiol;GLR1_estradiol;ERS1_estradiol;IZH2_estradiol;LPD1_estradiol;CRD1_estradiol;GDA1_estradiol;car1_estradiol;thaumatin;hydroxyurea;alphafactor;pentostatin;fluvastatin;aminooxyacetate;dmso;atorvastatin
Acetatic acid;0.253467379;-0.56431961;-0.172747586;-0.101297956;-0.039106018;-0.307144695;0.111047423;-0.438329203;-0.004227388;0.00295244;0.140623577;-0.16337545;0.155019096;-0.326010267;-0.184894988;-0.125370651;-0.085483703;0.266805749;-0.324373171;-0.283103035;-0.578807915;0.135669409;0.478525398;-0.174687454;-0.477300923;0.154452348;0.090323295;0.229953899;0.384010999;0.327047005;0.06499933;-0.3334169;0.040745807;0.520897544;0.263243734;-0.439064406;-0.305651963;-0.207052296;-0.5641556;0.391471022;-0.166048647;0.021228535;-0.218371612;0.052648161;0.112885908;0.318353924;0.462503721;-0.080459363;0.123285365;-8.43E-05;-0.801047513;0.048205594;0.265404576;0.488450295;-0.011606318;-0.301848728;0.621037718;-0.454365182;0.613025839;0.35817977;0.538570635;0.455413951;0.139003863;-0.526273052;0.574486626;0.828971889;0.546762477;0.235123404;0.082850879;0.380914985;-0.449601518;0.875057369;0.148117117;0.290194476;0.625790794;-0.179664567;0.124360869;-0.07253579;-0.569698052;-0.21335328;0.028640146;-0.656306782;0.222566487;-0.087629034;0.313500828;0.338986003;-0.038007756;0.137722941;0.69263169;-0.483866681;-0.126517283;0.250370134;0.478300294;-0.487859344;0.410509453;0.151785666;0.47026312;0.276221707;0.143958532;-0.40783363;0.059618971;0.174363342;0.125219393;-0.1485085;0.276800482;-0.075024195;0.466845355;0.005526466;0.035303883;0.036581403;-0.037773847;0.421744221;0.373195282;0.140574859;-0.08657474;0.040539442;0.31898994;-0.841754753;0.145199046;0.58417816;0.21813461;0.172060867;0.801738319;-0.395486829;-0.133384383;0.416398752;-0.207969539;0.196283347;-0.10321909;-0.054652852;-0.218075782;0.160453584;-0.175404092;-0.037144969;-0.2979396;-0.334401286;-0.06679237;0.031981118;0.685645268;0.241602659;-0.626709609;-0.008439097;-0.182581216;0.317772668;0.063508515;0.22125652;0.057385507;-0.658831436;-0.048540766;0.159185843;0.216863396;0.226622918;0.146339554;-0.346384308;0.133700887;0.445580816;-0.460971889;0.388996368;0.076872446;0.42259501;0.358132861;0.330305586;0.332110231;0.315209897;0.158654524
Acrylamide;-0.099489042;0.319598156;-0.532497068;-0.430093754;-0.136837689;0.456004996;0.014274628;-0.402923852;-0.207709319;-0.646000001;0.066380873;-0.930779384;0.0009106;-0.005060616;-0.175931064;-0.119448857;-0.640074319;0.350139671;0.061916009;-0.488496631;0.177009274;-0.400266026;-0.262656166;0.827654016;-0.143017683;-0.202126834;-0.575034202;0.488424832;0.635672604;-0.252857449;0.172244007;-0.045237702;-0.525857526;-0.458316301;-0.134327634;0.116982535;-0.363582369;-0.030879115;0.519065126;0.220367276;-0.11824474;0.259262284;0.468311923;-0.695290192;-0.03032885;-0.364425239;0.14292653;0.266366491;0.37403075;-0.12058995;-0.722308091;0.264254149;-0.089754679;-0.573573097;-0.263882742;-0.05593881;0.332378986;-0.245558274;-0.526307649;-0.355057958;0.154766321;0.229941204;0.036092862;0.207353238;-0.233018708;-0.499318807;0.588557288;0.128529927;-0.39037145;0.213625914;0.216368378;-0.263037213;0.564880664;0.140011031;-0.096506328;0.687519208;-0.477923273;-0.182258757;0.870317094;0.551287312;-0.280143728;0.786150644;0.392765516;0.176070216;0.377723924;-0.22490106;-0.367158551;0.359622373;-0.608186242;0.476334255;-0.116997273;0.045733506;-0.008824664;-0.147434508;0.848914192;0.725936601;-0.17717241;-0.640158068;0.21086544;-0.408990935;-0.653848319;-0.274831963;0.676771557;0.168353768;-0.315446547;0.210658781;-0.442023826;0.494039101;-0.011396431;0.263037211;-0.292513904;0.818463169;-0.320253633;-0.423918733;0.077921593;-0.249969466;0.331907948;0.498690815;-0.15093569;0.321462638;-0.074498429;0.380010863;-0.078005159;0.590051861;0.137400567;0.23684281;0.377603497;-0.087427648;-0.265563182;-0.59728594;0.17042575;-1.176378421;0.519649654;0.268011556;0.094167834;-0.210465153;-1.298302781;-0.169040124;-0.426248029;-0.736707814;-0.091162304;-0.2527159;-0.005986235;-0.068467659;0.021764933;0.04751323;0.205508913;0.250396242;-0.286538837;-0.342886475;0.125272678;-0.513106075;0.564845387;-0.013744242;0.236266072;0.576544256;-0.643625847;0.096147371;-0.232225336;-0.603440836;-0.135097267;-0.207477636;0.123023905;-0.340795891;0.043458719
Propenoic acid C3:1;-0.304306118;-1.18336824;-0.97340735;-0.090806402;-0.379322185;-0.081237895;-0.060832114;-0.297524752;-0.38348517;-0.4038098;-0.191894369;-0.365791303;-0.028712223;-0.412071023;-0.532594884;-0.453444697;-0.188868024;-0.232272439;-0.77305585;0.650928691;-0.405479301;-0.486275236;0.260352214;0.262526233;-0.433857351;0.234043363;-0.144725562;0.055938371;0.096835318;0.197941469;0.515848791;0.040073905;0.159352691;0.711953899;0.194115549;-0.050780475;-0.178241678;-0.007680559;-0.443878124;0.292513584;-0.079622565;-0.278578311;1.138138808;-0.050785754;0.033498435;0.576900253;0.310151328;0.140296091;0.068180339;-0.191738313;-0.567936196;0.080601243;0.29198064;0.514545618;0.369277232;0.154562161;1.248653854;-0.382471734;0.662163305;0.175229748;0.35176243;0.614525085;0.219154487;-0.294391853;0.30091687;0.878897963;0.08766404;0.431600486;0.177969317;0.709517905;-0.128774767;0.551390583;0.28775888;0.037446275;0.673500339;1.014333826;0.176689872;-0.118565433;-0.773278986;-0.989421394;0.172881971;-0.215520553;0.095736299;0.375061644;0.135160908;0.154757428;-0.193986246;0.413210173;0.413758166;0.084787073;0.120384752;0.09142684;0.504476858;-0.816428982;0.505862562;0.083764542;0.389093243;0.022639099;0.300088374;0.189447624;-0.181100982;-0.185488246;0.836894657;0.523918468;-0.1419365;-0.26996679;0.070061829;0.032910129;-0.244091902;0.038387954;-0.344358736;0.560011972;0.011320732;0.239878914;-0.230621254;0.114804154;0.148773128;0.316005331;0.038944899;0.836796816;-0.179327623;0.090688765;0.258260878;0.896948422;-0.171723598;0.224422311;-0.420114108;0.430503165;0.256953804;-0.283868108;0.228286226;0.066595773;0.669825792;0.228144856;-0.050453627;-0.288874036;-0.446783655;0.286000598;-0.01224585;0.023990075;-0.249771158;-0.464652064;0.048234192;0.396824545;-0.331253061;0.104957166;0.585266469;-0.128626442;-0.180380857;-0.042795793;0.066601038;0.583681247;0.117111883;-0.222484518;-0.025664343;0.587240825;-0.171562285;0.354115571;0.229787416;0.512251171;0.445584436;0.362568519;0.356207605;0.292328799;0.088886089
Aminoacetone;-0.410664422;0.78673861;0.27965374;0.161195709;-0.050993893;0.351675769;-0.267363984;0.322969484;-0.025726602;0.964071684;0.011215785;-0.022016218;-1.286749228;0.549282919;0.158524828;0.506895627;-0.67112591;-0.295877129;-0.346362685;0.282313902;-0.081503486;-0.059234988;-0.681800811;0.589750178;0.109572776;-0.309712178;0.282992124;0.911996658;0.17178138;0.020465456;-0.411087424;0.075974478;-0.235701717;-0.006044887;-0.324052119;0.591799127;0.948546186;0.01916674;0.823630795;0.203573346;0.128452226;0.178334735;0.021842155;-0.094416434;-0.216384456;0.018286868;-0.257711393;0.289988896;0.526768549;-0.249935245;-0.061505332;0.362732326;-0.304413382;-0.11791974;0.230373351;0.536930718;-0.30202391;0.431282538;-0.319579319;-0.057249335;0.236472248;-0.478293359;-0.194325211;1.713774709;-0.260628521;-0.54011673;-1.49334713;0.341197405;0.219732482;0.096000579;1.391796537;-0.265255233;-0.003697137;-0.347336278;0.048712765;-0.858872215;-0.131780191;0.184375111;1.398249746;0.099504593;1.603128905;0.918586191;1.13669266;-0.190503252;0.002896959;0.546438894;-0.069726854;0.137260308;-0.373536109;0.544918438;-0.700510443;-0.038117433;-0.186184527;-0.757245203;-0.311228504;0.296089128;-0.063321709;0.019852117;-1.007814176;-0.343392661;0.143906541;-0.389023744;-1.129956776;-0.213312482;-0.372353861;0.650155668;0.263427655;0.055699978;-0.166012068;0.239245541;-0.018238487;-0.161242686;-0.966328786;0.402331274;0.406049811;-0.052956876;0.544478875;0.698288428;0.314875372;-0.527198701;-0.036240474;-1.47907037;-0.910282777;0.004898794;0.427484231;-0.662713549;0.112115976;0.443457016;0.329986436;0.188823319;1.010819056;-0.810858232;0.314533077;0.380822639;0.314074385;0.485737786;0.045949292;0.227329696;-0.6437274;-0.176013169;0.545208197;-0.402517007;-0.379419694;-0.288487759;0.33363866;-0.075049034;0.343893395;1.175154096;0.429752897;-0.108396294;0.114784976;0.012696413;0.376712751;0.326314585;0.26555162;-0.219305385;0.899186531;0.386522574;0.312936912;0.090829733;0.346016705;-0.058366883;0.160814872;-0.326830779;0.3887729
Glyoxylic acid;-0.853824879;0.541189086;-0.308143685;-0.432011765;0.127831131;0.626529423;-0.106961756;0.078568527;-0.172185789;-0.228646437;0.324949247;-0.039737349;-0.061778291;-0.093332552;0.311495536;0.222469379;0.598969016;0.07475726;0.468770062;1.396231923;0.217809238;-0.516834209;-0.16015547;0.081224267;0.452381067;0.320115128;0.016525803;-0.393170463;-0.199622394;0.071527751;-0.27644014;0.031400626;-0.215452049;0.173729707;-0.373735493;-0.054208437;-0.063057352;-0.324043513;0.238615761;0.117166603;0.153334924;-0.668502233;0.841517939;-0.788996562;-0.130902741;0.19829402;0.020106689;0.334602741;0.212222457;0.161817165;0.52840577;0.123855585;-0.0531288;0.37857464;-0.766079868;-0.115956655;0.657652876;0.031505509;0.294952573;0.500975059;-0.209905999;-0.133143993;0.236928989;-0.049283339;-0.014280801;-0.115569826;-1.324916333;0.221874252;-0.474486471;0.006146321;-0.005383976;-0.324870828;0.450679901;-0.677305234;-0.277415371;0.272781951;0.085631774;-0.003171698;-0.478915673;-0.260351363;0.208869996;0.689645535;0.695340148;0.372203968;-0.277929624;0.054019393;-0.570309167;1.031064383;-0.009776618;0.128420664;0.058506813;-0.158279761;0.371838452;-0.354364627;0.564033258;0.071635798;0.173302534;-0.238734815;-0.128039422;0.281677963;-0.396458996;-0.279410917;0.581505592;0.414529121;-1.233970346;-0.312796411;-0.90945062;0.300022618;0.427932618;-0.096163227;-0.301073775;-0.028189739;-0.356216672;0.02290804;-0.068289846;-0.204400255;0.077415202;-0.016775679;0.539946785;0.209370114;0.355301968;-1.303618855;-0.208337352;0.794940431;-0.340752022;0.543802786;0.057516536;0.163358786;0.10853249;-0.180941746;0.046930168;-0.298272175;0.472760476;0.831840955;-0.025903806;0.524729342;-0.753196189;-0.071073686;-0.403156609;-0.868031649;-0.22017274;-0.03606711;0.916813587;0.127350798;-0.564142867;-0.017211587;0.18885126;1.037199894;-0.571541377;0.661215804;-0.404747073;0.77339686;-0.424790149;0.145232371;0.75642205;-0.069146974;0.141168349;-0.074908722;-0.162083784;-0.494377881;-0.001637178;0.117794047;-0.448913374;-0.110223659;-0.329343114
C3:0 (Propionic acid);-1.780988289;-1.455021011;-1.349569106;-0.589471867;-0.859870229;-1.049097355;-0.419164905;-0.90421838;-0.7988687;-0.0956183;-0.492447322;-0.547420511;-0.409298142;0.012924473;-0.433578325;-0.654877291;-0.119172166;-0.230832726;-0.467033852;-0.247484736;0.416730457;-0.074612753;-0.218294675;0.387972337;-0.334677843;-0.108921893;-0.24572171;0.21914428;-0.269111248;-0.431064045;0.177995536;0.45819597;0.252516843;0.65380634;0.398233499;0.067288795;0.226686868;0.109970815;0.40647529;0.156261856;0.006758897;-0.056969818;-0.536899472;0.190454944;0.018536866;0.395557373;0.042374723;0.247651457;0.485513534;-0.136694268;-0.145406139;0.13374505;0.098725242;0.578778391;0.103846932;0.39371673;0.634701043;0.391272402;0.566157473;0.388977424;-0.096587671;0.828301515;0.703178226;0.325503898;0.229790368;0.751163695;0.301478476;0.439268101;0.239056937;0.468238617;0.375926095;0.150131074;-0.023407519;0.670607492;0.351095976;0.539926583;0.338530418;0.052585249;-1.059735932;-1.671704521;-0.514103831;-0.020073681;0.126404896;-0.331034542;-0.246835849;-0.414592926;-0.199025145;-0.094255532;-0.513022089;0.019621565;-0.561540442;-0.002917493;-0.330053081;0.426347963;0.508891148;-0.268215314;0.130138817;-0.445726725;0.156794144;0.159353628;-0.190565273;-0.423354297;0.458567114;0.045325314;0.653262899;-0.199433386;-0.02576934;-0.724278207;0.380423786;0.135333979;-0.571957845;-0.114705714;-0.046705544;0.153402051;-0.001863858;-0.371107518;0.44141241;0.331758001;0.57067007;0.194550079;1.046911844;-0.948968798;0.118868636;0.384524036;-0.787291907;-0.51113202;-0.116954618;0.927677019;0.34329696;-0.151619979;0.038064229;0.297062747;0.104164248;-0.30367257;-0.159015981;-0.012077416;0.660957101;-0.494148779;0.150447564;-0.168904701;-0.318584416;-0.718574958;-0.365967622;0.537582707;0.813179048;-0.495642919;-0.143784074;0.319673382;-0.181747088;-0.062803862;0.42595476;0.137621649;0.004586039;0.043723803;0.068035908;0.383871837;0.600572669;0.264411714;-0.11061429;0.144165902;0.227004805;-0.003308659;0.093949302;-0.149043364;-0.491229582
Glycine;-0.455506193;0.366904071;-0.006764894;-0.314277356;-0.018701785;0.244789643;-0.155145818;0.245194531;-0.145498282;0.208161715;0.468930238;-0.128425071;-1.225132948;0.682873127;0.417656286;0.393006837;-0.285955613;0.742229108;0.110828367;0.131590701;-0.009003211;-0.210421207;-0.367220205;0.682156099;0.356896239;-0.076275433;0.337824317;0.80828545;0.239228473;-0.187782136;-0.167326305;0.148250847;0.078554153;-0.407829398;-0.010253383;0.489783207;0.455396255;0.023786302;0.5690519;0.224982041;-0.217091018;-0.012838275;0.50850848;-0.260560293;-0.25126533;-0.254600417;-0.500452729;0.076528277;0.523155426;-0.309545593;0.518840142;0.018061373;-0.232981906;-0.173233537;0.030043765;0.330870764;-0.549767003;0.309618018;-0.548064239;-0.053177104;0.312776166;-0.203669516;0.087108924;1.144361555;-0.493381955;-0.345566899;-1.464371554;0.078883214;-0.255952288;0.177231721;0.916664299;0.139895608;0.273905058;-0.342910118;0.256600402;-0.749285249;-0.152961212;0.189090981;1.08215649;0.662415933;1.651894804;1.42036216;0.749714179;-0.195232459;0.223931642;0.497466102;-0.000407319;0.013889083;-0.541149281;0.882471237;-0.552901752;0.47497061;0.024887556;-0.87470476;0.239093147;0.444562374;-0.1322135;0.120223635;-0.975375232;-0.001006772;-0.498039282;-0.241988943;-1.009544881;-0.065719809;-0.059513714;1.197976078;0.189848147;0.229880149;0.408303627;0.172058893;-0.218976716;-0.376384368;-0.875712538;0.074178961;0.340555635;0.063613954;0.703996469;0.603208589;-0.422289752;-0.333136253;0.04879553;-1.654018059;-0.908572094;-0.153320189;0.597266013;-0.297842013;0.493502724;0.168846169;0.215359649;-0.162661006;0.911623495;-0.767060725;0.420870226;0.812934992;0.076757109;0.477211089;-0.366166057;0.132170777;-0.794696816;-0.200748677;0.344676485;-0.077579244;-0.684023242;0.146982632;-0.166247551;-0.022753297;0.320613086;0.927091995;-0.180965045;0.093061555;-0.062871866;-0.079874593;0.303097248;0.249513036;0.211727784;0.003670628;0.649199447;0.380149542;0.38331573;0.080153187;0.429199078;0.157197106;0.121155327;0.491177217;0.239966549
Glycolate;-1.136931522;-0.790331188;-1.017118009;-0.131737248;-1.014136996;-0.425404812;-0.115214494;-0.577736458;-0.277705598;0.592279954;0.040589682;-0.151690399;0.223740572;-0.207675296;-0.75681269;-0.483669013;-0.110549305;-0.495010483;-0.043947123;-0.081778973;0.662477122;-0.123086629;-0.03534589;-0.295431781;0.187756895;0.328330687;-0.449600767;-0.57536685;-0.36811439;-0.208233354;0.076445039;0.146136662;0.40379674;0.978561751;0.095005845;-0.37348576;0.41665208;0.168882817;0.217360085;-0.030612935;1.01248394;0.402006386;0.140264106;0.577896879;0.077203469;0.327998456;-0.275597549;0.521790305;-0.111102691;-0.523128175;0.383567079;0.457209463;-0.237659537;-0.17300517;0.082527643;-0.213347188;0.01937957;1.169998148;0.523083423;0.129683034;-0.434159911;0.605671005;-0.126939227;-0.301897657;0.021766893;0.523682542;-0.066442966;-0.068999981;0.182589;0.132317234;-0.027901845;0.462333503;0.009810693;0.482824251;0.068884847;0.661215683;-0.188218072;-0.140419934;-0.877141866;-0.510582994;0.897844925;0.020158123;-0.513688119;0.627267528;-0.415154516;0.310563571;0.097589067;-0.288775966;-0.218768422;-0.40557829;-0.757549836;0.171049857;-0.423830738;-0.091232765;-0.10364665;-0.592161854;-0.674387774;0.837744346;-0.31653522;-0.242835158;0.485415151;-0.349859642;-0.070942544;0.330373268;0.706887658;0.24123131;-0.609950767;-0.034421041;0.195747478;-0.122257805;0.000649101;0.699128984;0.177735618;0.406079627;0.308893269;-0.203903646;-0.637528233;-0.590601878;-0.146926878;-0.177553542;1.496110353;-0.189081931;0.991251055;-0.157425439;0.082840046;-0.508274168;-0.084003352;0.169106947;0.301847863;0.105355806;-0.226154734;-0.039943111;0.100991302;-0.257571948;-0.446278591;-0.128501798;-0.17836223;-0.408215113;-0.673205659;-0.156594673;-0.125808913;0.498193779;0.123221535;0.665071518;0.42198858;0.43961252;-0.376132303;1.119200539;-0.207368581;0.096200412;0.500091465;0.274843888;0.186276148;-0.416744431;0.103325099;0.435852931;-0.031628189;-0.062263117;-0.246836287;0.756166376;0.067334478;-0.181434309;0.309812957;-0.571778129;-0.167561162
Succinic aldehyde;-1.469649736;-1.437566203;-1.140771897;-0.909188166;-0.586273015;-1.200069468;-0.213418294;-1.338670981;-1.012200785;-0.456934248;0.362246964;-0.863104685;-0.852616656;-0.032070779;-0.676133989;-0.831615417;-0.560785162;1.353055028;-0.13798798;-1.053805543;-0.358824462;-0.040987851;0.294816385;0.06078661;-0.600071534;-0.567048583;0.16173861;0.360787879;-0.148154817;0.219394197;0.07171992;0.66460242;0.20287085;0.172182789;0.731800402;-0.286009631;-0.130169173;0.378826843;-0.109047482;0.299820223;-0.171197952;-0.19337261;-0.066395998;-0.069510579;-0.172910811;0.435195264;0.165093523;-0.426452429;0.588294877;-0.014299483;-0.901346771;0.425429202;-0.014866947;0.539986361;0.000328884;0.414785532;0.603259216;-0.04532754;0.676152062;0.570215141;-0.383881122;0.764694409;1.142839296;-0.293723599;0.743142516;1.090789351;0.302854997;0.229829328;-0.41868242;0.543392695;-0.52489998;0.838529034;0.002551625;0.732430406;0.622452551;-0.191583968;0.068818492;0.314529906;-1.287320642;-1.077257626;-0.648583528;0.057447385;0.576635394;-0.069884616;0.581024444;0.47999104;-0.219172239;-0.245155345;0.32025542;-0.392436151;0.05368517;0.362658126;0.203939447;0.268658896;2.16225259;0.422206041;-0.186893733;0.488655304;-0.268940583;-0.569878279;-0.000247727;0.084408128;-0.488796005;-0.019001971;0.367740278;-0.197808968;0.259390607;0.384338975;-0.325569973;0.316906379;-0.264811681;0.459832675;0.2375243;0.450551423;-0.222259779;0.042590289;0.541566391;-0.813454129;0.552522843;0.541550958;0.381319915;-0.1308438;0.501454673;-0.855805222;-0.442438266;0.655243942;-0.110202053;0.094477784;-0.305617776;0.08993042;-0.313581267;0.074582779;-0.525916681;-0.227358923;-0.511088356;-0.203711947;0.31431316;-0.592798288;-0.067691253;-0.016221415;-0.597397165;0.000455207;-0.711994052;0.097900319;-0.459374628;0.112399374;-0.008276966;-1.004552704;-0.853173992;0.467133717;0.006308889;0.419765139;0.208502861;-0.501266818;0.124070367;0.388924805;-0.296943577;0.210095999;-0.499546738;0.395605757;0.438778366;0.174893373;0.074067484;-0.168511838;-0.202434776
Dehydroalanine;0.144294851;-1.001428325;-0.468475935;-0.232694196;0.095652535;-0.296759807;0.11974907;0.293490526;-0.084773746;-0.335315655;-0.125419541;0.181340298;-0.006057535;-0.317329895;-0.124570681;-0.071017414;0.701469764;0.169574174;0.54829176;0.284205437;-0.483323639;-0.690474162;-0.590015372;-0.471410011;-0.239723681;-0.418594382;-0.025119938;0.583929567;0.08333852;0.402250941;-0.040092965;0.107453878;0.352379474;-0.271700483;0.039993754;-0.266950768;-0.444600495;0.230155432;-0.552305998;0.365944047;0.09313193;-0.051446815;0.352108063;-0.721446637;0.16000597;0.370515097;-0.137675888;-0.884450451;-0.074108251;0.814643143;-0.568532361;0.587107314;0.269070809;0.346302779;0.177629173;0.147685138;-0.040217496;0.095741548;0.545977327;-0.127482069;0.10650441;-0.003411637;0.915995889;0.415237008;-0.448802218;0.800491445;-0.119392815;-0.472532441;0.080892344;0.174952636;-0.121249258;-0.242691472;-0.638319825;-0.289525829;0.198151837;-0.51758686;0.2115919;-0.180565476;-0.548486291;0.576312233;-0.487972649;0.181442506;-0.520996349;-0.333514215;0.358449201;0.310309581;0.274392369;0.172387302;0.562956356;0.221490167;0.481725488;-0.40100275;0.680721327;-0.290296644;-1.209998306;-0.210561746;0.109217531;-0.21810038;0.299929264;-0.163481923;-0.044814047;-0.139248692;-0.082217139;-0.256041914;-0.879971169;0.357793795;0.318398917;0.250647393;-0.171224079;-0.021338642;0.059653372;-0.199231738;0.277157528;1.120085668;0.096337075;-0.310713259;-0.126520804;-0.301678034;-0.218236487;0.703657607;0.062991614;0.208250941;-0.55218598;0.739744017;0.217973359;0.151264996;0.86871648;0.630906096;-0.204515441;0.418148725;0.099837886;-0.264479989;0.152366032;-0.018689038;-0.159995783;-0.113128502;-0.422685407;-0.181241958;0.391219485;0.262104265;1.001757044;-0.353309836;0.104485904;-0.858164624;0.128714406;-0.283040037;-0.204309222;0.309225792;0.131641135;-0.503971156;-0.534435926;0.691334553;0.368158301;0.006610342;-0.10077724;-0.008938989;-0.426923162;0.196044087;0.190005901;-0.396689467;0.449467646;-0.155252157;-0.204368743;0.026344029;0.152875564
Pyruvate;-1.324463219;-0.703607763;-1.064714145;-0.711438823;-0.397280404;-0.526542082;-0.137176346;-0.976810731;-0.649195169;-0.374753439;0.108622239;-0.805868325;-0.93714333;0.101598256;-0.418622958;-0.49658539;-0.635756507;2.319607919;0.18530348;-0.402949321;-0.239821476;-0.257390258;-0.257935641;0.794941898;-0.275713118;-0.495473995;0.076488148;0.403912574;0.002200616;0.049874294;-0.267662714;0.886222659;0.17078855;-0.082103165;0.41622669;0.131863784;-0.026018302;0.436278213;0.477859734;0.252825947;-0.505094543;-0.188463238;0.099273906;-0.552066031;-0.432938303;0.188243488;-0.237369842;-0.453230647;0.454328187;-0.32278271;-0.05586558;-0.231325838;-0.853580995;0.001170919;-0.471000997;0.515036199;0.277240085;0.273228367;-0.187188778;0.221978151;-0.268615292;0.058993193;0.106531169;-0.175030008;-0.234503929;0.425872479;-0.419259319;-0.150939887;-0.610519975;0.57091878;0.614966223;0.483761177;-0.203028572;0.029432287;0.44932977;-0.095210959;-0.187329632;-0.499512296;-0.827460603;-1.010726342;-0.443511189;0.711200297;0.142974284;-0.724692993;0.094777277;0.093275712;-0.384993393;-0.434865598;-0.543694534;0.266890199;-0.460439165;0.327445424;-0.582182802;0.876640531;4.077975031;0.873577314;-0.31858837;0.491081322;-0.558545133;-0.608832437;-0.517508274;-0.240994414;-0.806128803;0.215196668;-0.325487815;0.415449473;-0.453292353;-0.036280928;-0.167526906;0.126032724;-0.262393827;0.161300468;-0.040402537;0.093782089;-0.37748749;0.101892534;0.73008302;-0.868391198;0.642975002;-0.026447463;-0.007377733;-0.473408164;-0.823923789;-0.424981659;-0.190622866;0.706514957;-0.596100556;0.341447096;-0.07158961;-0.474335547;-0.076794182;-0.646640014;-0.437850101;0.405816659;-0.84596522;0.757745284;-0.087017285;-1.008329875;-0.521487975;0.028525594;-0.689306496;0.175522175;-0.314568612;-0.281172597;-0.603980481;-0.356041714;-0.361545429;0.19788262;-0.717111659;1.036469682;-0.100843102;1.046100854;-0.008077645;-0.459469524;0.140128684;0.37755126;-0.193321551;0.589042831;-0.003583577;0.558292368;0.778421769;0.362207475;0.460027378;-0.14601094;0.08375209
